Product Name,Price,Description,Link
Asus VivoBook X441NA-GA190,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14, Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",https://webscraper.io/test-sites/e-commerce/scroll/product/60
Prestigio SmartBook 133S Dark Grey,$299,"Prestigio SmartBook 133S Dark Grey, 13.3 FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/test-sites/e-commerce/scroll/product/61
Prestigio SmartBook 133S Gold,$299,"Prestigio SmartBook 133S Gold, 13.3 FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",https://webscraper.io/test-sites/e-commerce/scroll/product/62
Aspire E1-510,$306.99,"15.6, Pentium N3520 2.16GHz, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/scroll/product/32
Lenovo V110-15IAP,$321.94,"Lenovo V110-15IAP, 15.6 HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/63
Lenovo V110-15IAP,$356.49,"Asus VivoBook 15 X540NA-GQ008T Chocolate Black, 15.6 HD, Pentium N4200, 4GB, 500GB, Windows 10 Home, En kbd",https://webscraper.io/test-sites/e-commerce/scroll/product/64
Hewlett Packard 250 G6 Dark Ash Silver,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6 HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",https://webscraper.io/test-sites/e-commerce/scroll/product/65
Acer Aspire 3 A315-31 Black,$372.7,"Acer Aspire 3 A315-31 Black, 15.6 HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/66
Acer Aspire A315-31-C33J,$379.94,"Acer Aspire A315-31-C33J Black 15.6, HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/scroll/product/67
Acer Aspire ES1-572 Black,$379.95,"Acer Aspire ES1-572 Black, 15.6 HD, Core i3-6006U, 4GB, 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/scroll/product/68
Acer Aspire 3 A315-31 Black,$391.48,"Acer Aspire 3 A315-31 Black, 15.6 HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/69
Acer Aspire 3 A315-21,$393.88,"Acer Aspire 3 A315-21, 15.6, AMD A4-9120. 4GB. 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/scroll/product/70
Asus VivoBook Max,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6 HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/45
Asus VivoBook E502NA-GO022T Dark Blue,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6 HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/test-sites/e-commerce/scroll/product/71
Lenovo ThinkPad E31-80,$404.23,"Lenovo ThinkPad E31-80, 13.3 HD, Celeron 3855U 1.6GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/72
Acer Aspire 3 A315-31 Black,$408.98,"Acer Aspire 3 A315-31 Black, 15.6 HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/73
Lenovo V110-15ISK,$409.63,"Lenovo V110-15ISK, 15.6 HD, Core i3-6006U, 8GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/74
Acer Aspire ES1-732 Black,$410.46,"Acer Aspire ES1-732 Black, 17.3 HD+, Celeron, N3350, 4GB, 1TB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/75
Asus VivoBook 15 X540NA-GQ026T,$410.66,"Asus VivoBook 15 X540NA-GQ026T Chocolate Black, 15.6 HD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",https://webscraper.io/test-sites/e-commerce/scroll/product/76
Packard 255 G2,$416.99,"15.6, AMD E2-3800 1.3GHz, 4GB, 500GB, Windows 8.1",https://webscraper.io/test-sites/e-commerce/scroll/product/31
Asus EeeBook R416NA-FA014T,$433.3,"Asus EeeBook R416NA-FA014T, 14 FHD, Pentium N4200, 4GB, 128GB eMMC, Windows 10 Home, Eng kbd",https://webscraper.io/test-sites/e-commerce/scroll/product/77
Acer Aspire 3 A315-51,$436.29,"Acer Aspire 3 A315-51, 15.6 HD, Core i3-6006U, 4GB, 1TB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/78
Acer Aspire ES1-572 Black,$436.29,"Acer Aspire ES1-572 Black, 15.6 HD, Core i3-6006U, 4GB, 500GB, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/79
Acer Extensa 15 (2540) Black,$439.73,"Acer Extensa 15 (2540) Black, 15.6 HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/scroll/product/80
Acer Aspire ES1-572 Black,$454.62,"Acer Aspire ES1-572 Black, 15.6 HD, Core i5-7200U, 4GB, 500GB, Linux",https://webscraper.io/test-sites/e-commerce/scroll/product/81
Lenovo V110-15ISK,$454.73,"Lenovo V110-15ISK, 15.6 HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Pro",https://webscraper.io/test-sites/e-commerce/scroll/product/82
Acer Aspire A315-51-33TG,$457.38,"Acer Aspire A315-51-33TG, Black 15.6 HD, Core i3-7100U, 4GB DDR4, 128GB SSD, Windows 10 Home, ENG",https://webscraper.io/test-sites/e-commerce/scroll/product/83
Lenovo V110-15IKB,$465.95,"Lenovo V110-15IKB, 15.6 HD, Core i5-7200U, 4GB, 500GB, DOS",https://webscraper.io/test-sites/e-commerce/scroll/product/84
Asus VivoBook 15 X540UA-DM260 Chocolate Black,$468.56,"Asus VivoBook 15 X540UA-DM260 Chocolate Black, 15.6 FHD, Core i3-6006U, 4GB, 256GB SSD, Endless OS, En kbd",https://webscraper.io/test-sites/e-commerce/scroll/product/85
Acer Aspire ES1-572 Black,$469.1,"Acer Aspire ES1-572 Black, 15.6 HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/86
Lenovo V510 Black,$484.23,"Lenovo V510 Black, 14 HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/87
Acer Aspire ES1-572 Black,$485.9,"Acer Aspire ES1-572 Black, 15.6 HD, Core i5-7200U, 4GB, 128GB SSD, Linux",https://webscraper.io/test-sites/e-commerce/scroll/product/88
Lenovo V510 Black,$487.8,"Lenovo V510 Black, 15.6 HD, Core i3-6006U, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/89
Acer Swift 1 SF113-31 Silver,$488.64,"Acer Swift 1 SF113-31 Silver, 13.3 FHD, Pentium N4200, 4GB, 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/90
Dell Vostro 15,$488.78,"Dell Vostro 15 (3568) Black, 15.6 FHD, Core i5-7200U, 4GB, 128GB SSD, Radeon R5 M420 2GB, Linux",https://webscraper.io/test-sites/e-commerce/scroll/product/46
Acer Aspire 3 A315-51 Black,$494.71,"Acer Aspire 3 A315-51 Black, 15.6 FHD, Core i3-7100U, 4GB, 500GB + 128GB SSD, Windows 10 Home",https://webscraper.io/test-sites/e-commerce/scroll/product/91
